Borough,Zipcode,Year,Month,Average Sale Price
Bronx,10465,2021,July,412272.2258
Bronx,10466,2021,July,413671
Bronx,10467,2021,July,2227386.571
Bronx,10468,2021,July,599727.2727
Bronx,10469,2021,July,491805.122
Bronx,10470,2021,July,316172.65
Bronx,10471,2021,July,885910.7143
Bronx,10472,2021,July,1153297.433
Bronx,10473,2021,July,353784.9063
Bronx,10474,2021,July,1225000
Bronx,10475,2021,July,263695
Bronx,10451,2021,August,191363.6364
Bronx,10452,2021,August,994467.3333
Bronx,10453,2021,August,966237.6
Bronx,10454,2021,August,0
Bronx,10455,2021,August,2496250
Bronx,10456,2021,August,949895
Bronx,10457,2021,August,1045059.412
Bronx,10458,2021,August,2417913.125
Bronx,10459,2021,August,2114673.529
Bronx,10460,2021,August,402579.4444
Bronx,10461,2021,August,440178.5714
Bronx,10462,2021,August,792483.8235
Bronx,10463,2021,August,777347.1061
Bronx,10464,2021,August,365000
Bronx,10465,2021,August,396439.2031
Bronx,10466,2021,August,480383.4
Bronx,10467,2021,August,649799.9
Bronx,10468,2021,August,3715720
Bronx,10469,2021,August,289350.6923
Bronx,10470,2021,August,299954.5455
Bronx,10471,2021,August,629764.4186
Bronx,10472,2021,August,678774.5161
Bronx,10473,2021,August,342958.3333
Bronx,10474,2021,August,24350000
Bronx,10475,2021,August,112502.5
Bronx,10451,2021,September,983188.1818
Bronx,10452,2021,September,673625
Bronx,10453,2021,September,673515.7273
Bronx,10454,2021,September,4554616.667
Bronx,10455,2021,September,436000
Bronx,10456,2021,September,969073.5
Bronx,10457,2021,September,447333.3333
Bronx,10458,2021,September,349409.0909
Bronx,10459,2021,September,469846.9231
Bronx,10460,2021,September,291449.9
Bronx,10461,2021,September,476790.9091
Bronx,10462,2021,September,282588.8548
Bronx,10463,2021,September,430886.5476
Bronx,10464,2021,September,204000
Bronx,10465,2021,September,516380.9667
Bronx,10466,2021,September,350177.3585
Bronx,10467,2021,September,381363.0882
Bronx,10468,2021,September,1327653.846
Bronx,10469,2021,September,444160.4583
Bronx,10470,2021,September,465030.6667
Bronx,10471,2021,September,399911.6897
Bronx,10472,2021,September,1737928.571
Bronx,10473,2021,September,688561.3333
Bronx,10474,2021,September,790714.2857
Bronx,10475,2021,September,2687501.667
Bronx,10451,2021,October,918285.2222
Bronx,10452,2021,October,4953743.284
Bronx,10453,2021,October,1273125
Bronx,10454,2021,October,467777.7778
Bronx,10455,2021,October,1102571.429
Bronx,10456,2021,October,310750
Bronx,10457,2021,October,1010353.529
Bronx,10458,2021,October,2328222.778
Bronx,10459,2021,October,616545.4545
Bronx,10460,2021,October,280132.1053
Bronx,10461,2021,October,504071.6667
Bronx,10462,2021,October,377887.2549
Bronx,10463,2021,October,371423.4386
Bronx,10464,2021,October,86181.86364
Bronx,10465,2021,October,408762.8769
Bronx,10466,2021,October,758665.5556
Bronx,10467,2021,October,1011577.417
Bronx,10468,2021,October,4124500
Bronx,10469,2021,October,439184.6935
Bronx,10470,2021,October,285076
Bronx,10471,2021,October,499402.1212
Bronx,10472,2021,October,437154.0938
Bronx,10473,2021,October,2034347.36
Bronx,10474,2021,October,4640306.429
Bronx,10475,2021,October,292583.3333
Bronx,10451,2021,November,2064750
Bronx,10452,2021,November,8978045.5
Bronx,10453,2021,November,6404888.889
Bronx,10454,2021,November,940835
Bronx,10455,2021,November,93888.88889
Bronx,10456,2021,November,515002
Bronx,10457,2021,November,1468234.964
Bronx,10458,2021,November,1219214.286
Bronx,10459,2021,November,1169200
Bronx,10460,2021,November,486642.3077
Bronx,10461,2021,November,689870
Bronx,10462,2021,November,1150081.034
Bronx,10463,2021,November,667470
